"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","CROPYIELD","MAIZE","TONNE_HA","A","2019",4.839,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.559,
"ARG","CROPYIELD","MAIZE","TONNE_HA","A","2019",7.54,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.603,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.222,
"TUR","CROPYIELD","MAIZE","TONNE_HA","A","2019",8.915,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.289,
"OECD","CROPYIELD","MAIZE","TONNE_HA","A","2019",8.919,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.124,
"GBR","CROPYIELD","WHEAT","TONNE_HA","A","2019",8.189,
"GBR","CROPYIELD","MAIZE","TONNE_HA","A","2019",0,
"GBR","CROPYIELD","RICE","TONNE_HA","A","2019",0,
"GBR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",0,
